Symbol, Total Value, Profitable Value, Giveaway Value, Best Future Value, earningsQuarterlyGrowth, priceToBook, forwardPE, pegRatio, 52WeekChange, marketPrice, Industry, earningsDate, recommendation
ED,884,218,72,167,0.042,1.3212694,16.29399,6.15,-0.17080355,73.35,Utilities,2/17/2021, 6:00:00 PM,{"period":"0m","strongBuy":1,"buy":0,"hold":7,"sell":5,"strongSell":1}
DLTR,885,119,155,188,0.29,3.600027,17.213247,1.85,0.1308639,108.29,Consumer Defensive,3/1/2021, 6:00:00 PM,{"period":"0m","strongBuy":8,"buy":7,"hold":11,"sell":0,"strongSell":0}
MAS,889,34,313,175,1.183,100.462105,16.67178,0.98,0.1539278,54.46,Industrials,2/8/2021, 6:00:00 PM,{"period":"0m","strongBuy":6,"buy":11,"hold":8,"sell":0,"strongSell":0}
FDX,890,61,156,165,0.671,3.9056873,16.225897,0.67,0.7639853,290.25,Industrials,12/16/2020, 6:00:00 PM,{"period":"0m","strongBuy":8,"buy":13,"hold":7,"sell":0,"strongSell":0}
ADI,891,99,25,279,0.392,4.346822,22.298578,2.17,0.18753147,141.28,Technology,2/16/2021, 6:00:00 PM,{"period":"0m","strongBuy":6,"buy":10,"hold":10,"sell":0,"strongSell":0}
BAC,894,287,3,116,-0.155,1.0082936,13.604762,87.53,-0.17665708,29.11,Financial Services,1/18/2021, 6:00:00 PM,{"period":"0m","strongBuy":6,"buy":16,"hold":7,"sell":0,"strongSell":1}
STT,894,255,382,61,-0.048,1.1124694,11.165645,1.16,-0.08565688,71.73,Financial Services,1/14/2021, 6:00:00 PM,{"period":"0m","strongBuy":2,"buy":5,"hold":13,"sell":0,"strongSell":0}
EVRG,895,240,131,184,-0.006,1.4207299,17.068111,3.08,-0.12768984,55.1,Utilities,2/28/2021, 6:00:00 PM,{"period":"0m","strongBuy":0,"buy":0,"hold":0,"sell":0,"strongSell":0}
GPN,901,30,197,301,1.325,2.0717106,23.858385,1.82,0.07116556,194.17,Industrials,2/9/2021, 6:00:00 PM,{"period":"0m","strongBuy":11,"buy":15,"hold":7,"sell":1,"strongSell":0}
LNT,903,197,14,241,0.088,2.262009,20.11868,3.6,-0.033096492,51.86,Utilities,2/17/2021, 6:00:00 PM,{"period":"0m","strongBuy":2,"buy":0,"hold":5,"sell":0,"strongSell":0}
LMT,907,210,305,128,0.056,20.43213,13.848008,1.79,-0.06280613,355.39,Industrials,1/25/2021, 6:00:00 PM,{"period":"0m","strongBuy":7,"buy":3,"hold":12,"sell":0,"strongSell":0}
FLIR,918,243,208,201,-0.022,3.0341475,17.884615,2.83,-0.20558089,41.97,Technology,10/29/2020, 7:00:00 PM,{"period":"0m","strongBuy":2,"buy":4,"hold":4,"sell":0,"strongSell":0}
HII,918,88,215,183,0.442,3.8280914,17.053741,29.5,-0.29570764,174.46,Industrials,2/10/2021, 6:00:00 PM,{"period":"0m","strongBuy":1,"buy":3,"hold":7,"sell":0,"strongSell":1}
WBA,940,370,457,14,-0.449,1.7419571,8.017375,1.24,-0.28148788,41.65,Healthcare,1/6/2021, 6:00:00 PM,{"period":"0m","strongBuy":5,"buy":10,"hold":9,"sell":0,"strongSell":0}
DVA,950,187,173,103,0.108,7.8265896,13.161605,0.75,0.4944812,111.91,Healthcare,2/7/2021, 6:00:00 PM,{"period":"0m","strongBuy":2,"buy":1,"hold":8,"sell":2,"strongSell":0}
FMC,955,136,226,152,0.232,5.130883,15.733784,1.84,0.16991568,117.66,Basic Materials,2/2/2021, 6:00:00 PM,{"period":"0m","strongBuy":3,"buy":10,"hold":8,"sell":0,"strongSell":0}
JNPR,959,86,267,108,0.464,1.5826714,13.284849,7.93,-0.09083372,21.97,Technology,1/24/2021, 6:00:00 PM,{"period":"0m","strongBuy":0,"buy":4,"hold":19,"sell":2,"strongSell":0}
CMS,960,211,93,256,0.053,3.1953936,20.835089,3.08,-0.040245652,59.44,Utilities,1/27/2021, 6:00:00 PM,{"period":"0m","strongBuy":2,"buy":4,"hold":8,"sell":0,"strongSell":0}
VRTX,965,3,481,224,10.604,7.1706867,19.4592,0.85,0.02127564,224.04,Healthcare,1/27/2021, 6:00:00 PM,{"period":"0m","strongBuy":10,"buy":12,"hold":5,"sell":0,"strongSell":0}
DG,976,72,171,249,0.571,7.246423,20.578686,1.2,0.35242522,205.87,Consumer Defensive,3/9/2021, 6:00:00 PM,{"period":"0m","strongBuy":6,"buy":8,"hold":14,"sell":0,"strongSell":2}
